,Bedrooms,Bathrooms,Area,Price,Locality
0,3,2,1800,34000,"BhagyalaxmiNagar,Kavadiguda"
1,3,2,2500,45000,"Gachibowli,OuterRingRoad"
2,1,2,1477,18000,Gachibowli
3,3,2,2160,41000,"Moosapet,NH"
4,3,2,1580,23000,RaghavendraColonykondapur
5,3,2,2600,50000,"BanjaraDarwaja,GolcondaFort"
6,3,1,1350,32000,"MohansSaiSignature,Nanakramguda"
7,3,1,1477,13000,Gowlidoddy
8,3,2,1700,35000,"Somajiguda,NH"
9,3,1,1150,11000,Kapra
10,3,2,1330,19000,"TilakNagar,NewNallakunta,NH"
11,3,1,1836,30000,"Neknampur,Manikonda,OuterRingRoad"
12,3,2,1540,18000,"MayuriNagar,Miyapur"
13,3,1,1720,30000,"AccurateWindChimes,Narsingi,OuterRingRoad"
14,3,2,1950,31000,"HyderNagar,NH"
15,3,3,2075,49000,"VajrasJasmineCounty,Financialdistrictgucchibowli"
16,3,2,2500,38000,"TirumalaGardens,BanjaraHills,NH"
17,2,3,1080,18000,"ParagonVenkatadriApartments,Kachiguda,NH"
18,3,2,1500,26000,"MeenakshiHomes,Miyapur,NH"
19,3,3,2150,25000,Papulguda
20,2,1,1350,12000,"Bachupally,OuterRingRoad"
21,3,1,1198,34000,NanakramGuda
22,3,1,2100,39000,"L&TSereneCounty,Gachibowli,OuterRingRoad"
23,3,1,1875,37000,"SMPlaza,ECIL"
24,3,2,1200,13000,"ChattaBazaar,PatharGatti"
25,2,2,1296,35000,"LodhaMeridian,KukatpallyHousingBoardColony,NH"
26,2,2,1100,45000,HitechCity
27,3,2,2000,38000,"BanjaraHills,NH"
28,3,2,2020,45000,"Gachibowli,OuterRingRoad"
29,2,1,1200,35000,Mehindipatnam
30,3,2,1640,35000,"YMCACircle,Narayanguda"
31,3,2,1640,35000,"YMCACircle,Narayanguda"
32,3,3,1870,41000,"VajrasJasmineCounty,Gachibowli,OuterRingRoad"
33,3,2,1600,25000,JubileeHills
34,3,1,1650,25000,Kondapur
35,3,2,1477,27000,Kondapur
36,2,2,1260,19000,Kondapur
37,3,2,1920,35000,"GolfView,Gachibowli,OuterRingRoad"
38,3,1,1250,18000,DevanDevdi
39,3,2,1818,41000,"LodhaCasaParadiso,SanathNagar,NH"
40,3,2,2130,24000,"SrilaParkPride,Kukatpally,NH"
41,3,1,1800,35000,"GudiMalkapur,Mehdipatnam"
42,3,2,1555,30000,"Bachupally,OuterRingRoad"
43,1,2,1477,23000,"BanjaraBaseraApartment,BanjaraHills,NH"
44,2,2,1200,16000,KPHB
45,3,2,1600,20000,"Dullapally,NH"
46,2,2,1296,12000,"VSRCelestialTowers,Gajularamaram"
47,3,2,2072,28000,"Jeedimetla,NH"
48,3,3,1460,17000,"VasanthNagarColony,Nizampet"
49,3,2,1900,45000,"Nallagandla,Serilingampally"
50,2,1,950,15500,BrindavanColony-ToliChowki
51,2,1,1100,16000,WestMarredpally
52,2,1,1563,20000,"PBELCity,Appajunction"
53,3,2,1990,36000,"AdityaEmpressTowers,Shaikpet"
54,3,2,2051,45000,"PrestigeIvyLeague,Phase"
55,1,1,1477,9800,Shri
56,3,1,1260,20000,"Upparpally,HyderabadExpressway"
57,2,2,1075,15000,"Gangaram,Chandanagar,NH"
58,3,3,2100,30000,"SrinivasNagar,RhodaMistriNagar"
59,3,2,2000,35000,"VasanthNagarColony,Nizampet"
60,3,1,1600,36000,Madhapur
61,3,1,1360,13000,"Annojiguda,NH"
62,3,1,2025,35000,"Neknampur,Manikonda,OuterRingRoad"
63,3,3,1860,22000,"NGRI,Secunderabad"
64,3,2,1500,25000,"Chandanagar,NH"
65,2,2,1160,30000,"SamathaNagar,Kukatpally,NH"
66,3,2,1400,17500,BandlagudaJagir
67,3,1,1380,44000,"JainsCarltonCreek,Gachibowli,OuterRingRoad"
68,3,2,1800,24000,"Kukatpally,NH"
69,3,2,2000,43000,"AdityaImperialHeights,Hafeezpet,NH"
70,3,2,1800,35000,"Nallagandla,Serilingampally"
71,3,1,1620,25000,Gajularamaram
72,3,3,2200,25000,"Ramanthapur,NH"
73,3,2,1810,30000,"ALINDEmployeesColony,Serilingampally"
74,3,2,1510,12000,"ARKHomes,Bolarum,MedchalRoad"
75,4,2,2800,50000,"Kokapet,OuterRingRoad"
76,3,2,1908,48000,"SMRVinayIconia,Kondapur"
77,3,2,1705,30000,HitechCity
78,2,2,900,19000,Papulguda
79,3,2,1690,38000,"MyHomeVihanga,Gachibowli,OuterRingRoad"
